city,zipcode,avg_house_price,number_of_schools,population,poverty_count,median_household_income,poverty_rate
Aberdeen,28315,152390.6887755102,4,13700.0,2826.0,51725.0,20.62773722627737
Advance,27006,203515.1182795699,2,14555.0,932.0,78095.0,6.403297835795259
Albemarle,28001,112205.6836734694,8,26601.0,5208.0,45121.0,19.57821134543814
Angier,27501,137745.62152777778,5,21299.0,2601.0,56338.0,12.21184093149913
Apex,27502,215726.2925170068,7,40280.0,2248.0,110513.0,5.580933465739822
Apex,27523,246535.10544217686,3,11629.0,685.0,102368.0,5.8904462980479835
Apex,27539,214707.28819444444,5,23436.0,1111.0,105526.0,4.740570063150709
Archdale,27263,106700.33333333333,5,22028.0,3042.0,44454.0,13.80969674959143
Arden,28704,198592.72118959107,3,19060.0,1563.0,63223.0,8.200419727177334
Ash,28420,141049.60869565216,2,3845.0,639.0,53519.0,16.618985695708712
Asheboro,27203,99023.69047619047,8,21684.0,5360.0,34131.0,24.718686589190185
Asheboro,27205,126188.86054421769,7,34517.0,5316.0,47008.0,15.40110670104586
Asheville,28801,238207.04104477612,5,13683.0,3113.0,33504.0,22.750858729810712
Asheville,28803,208256.14814814815,9,33756.0,3072.0,50475.0,9.100604337006754
Asheville,28804,273424.1777777778,2,22189.0,2553.0,59855.0,11.50570102302943
Asheville,28805,222272.75925925927,3,19818.0,2187.0,49893.0,11.035422343324251
Asheville,28806,185958.88148148148,12,42650.0,6165.0,46726.0,14.454865181711607
Atlantic,28511,109207.3581081081,1,566.0,107.0,38125.0,18.90459363957597
Aurora,27806,80776.66793893129,1,2664.0,490.0,37582.0,18.393393393393392
Ayden,28513,101944.41847826086,3,10321.0,2091.0,48269.0,20.259664761166555
Badin,28009,66307.5068027211,1,1221.0,167.0,33261.0,13.677313677313677
Bahama,27503,205237.66192170818,1,6328.0,170.0,81016.0,2.686472819216182
Bailey,27807,130855.9010989011,2,6415.0,866.0,45422.0,13.499610288386593
Banner Elk,28604,218889.23469387754,2,7635.0,918.0,51280.0,12.023575638506877
Barco,27917,158188.86394557822,3,734.0,391.0,29684.0,53.269754768392374
Barnardsville,28709,178343.93308550186,1,2302.0,175.0,47250.0,7.602085143353605
Bath,27808,211852.8076923077,1,1939.0,169.0,48079.0,8.715832903558535
Bayboro,28515,93717.90350877192,4,2584.0,507.0,29292.0,19.620743034055728
Bear Creek,27207,125560.8458781362,1,3149.0,502.0,55625.0,15.941568751984757
Beaufort,28516,185096.02040816325,4,11268.0,1665.0,48668.0,14.776357827476039
Belmont,28012,161547.49816849816,7,22968.0,2135.0,66910.0,9.29554162312783
Belwood,28090,117571.56462585034,2,8473.0,2121.0,33151.0,25.032456036822847
Bennett,27208,128988.96140350877,2,1847.0,331.0,42128.0,17.920952896589064
Benson,27504,129349.82720588235,5,15182.0,3153.0,46944.0,20.768014754314322
Bessemer City,28016,94107.95970695971,5,13046.0,2484.0,44313.0,19.040318871684807
Bethel,27812,72635.31891891891,2,2762.0,694.0,38944.0,25.126719768283852
Black Mountain,28711,205268.45238095237,3,13398.0,880.0,45329.0,6.568144499178982
Blowing Rock,28605,334037.3605442177,1,3428.0,375.0,60172.0,10.939323220536757
Boiling Spring Lakes,28461,250243.95673076922,4,19897.0,1471.0,64418.0,7.393074332813993
Bolivia,28422,217268.28640776698,4,8404.0,1810.0,45183.0,21.53736316039981
Boomer,28606,119446.34166666666,1,1689.0,265.0,31308.0,15.689757252812313
Boone,28607,221692.73469387754,5,35523.0,10533.0,41143.0,29.651211890887595
Boonville,27011,114824.38,3,5380.0,906.0,37167.0,16.840148698884757
Bostic,28018,98474.87755102041,3,4699.0,757.0,36108.0,16.109810597999573
Brevard,28712,214381.12021857922,6,20017.0,2894.0,46490.0,14.457710945696158
Brevard,28772,159262.7989130435,3,1061.0,51.0,45670.0,4.806786050895382
Broadway,27505,128463.15646258503,1,5862.0,898.0,47696.0,15.31900375298533
Browns Summit,27214,149093.25510204083,3,10773.0,781.0,67895.0,7.24960549521953
Bunn,27508,118108.64516129032,3,1326.0,163.0,42981.0,12.29260935143288
Bunnlevel,28323,151559.17297297297,2,3899.0,704.0,52351.0,18.055911772249296
Burgaw,28425,128284.2258064516,6,11634.0,2161.0,40211.0,18.57486676981262
Burlington,27215,150855.25510204083,8,41204.0,6435.0,47420.0,15.617415784875256
Burlington,27217,112657.76190476191,7,37624.0,7957.0,40114.0,21.148734850095682
Butner,27509,122982.40136054422,2,6285.0,1325.0,41467.0,21.081941129673826
Buxton,27920,241166.20610687023,2,1327.0,542.0,48796.0,40.844009042954035
Camden,27921,211467.3686868687,5,4889.0,595.0,63563.0,12.170177950501126
Cameron,28326,144667.10204081633,5,23385.0,3280.0,61299.0,14.026085097284586
Candler,28715,199649.7037037037,5,26318.0,3319.0,53594.0,12.611140664184209
Canton,28716,157116.90476190476,5,17807.0,2681.0,49018.0,15.055876902341774
Carolina Beach,28428,308403.2324324324,1,6533.0,603.0,71250.0,9.230062758303994
Carrboro,27510,275490.2970711297,3,15528.0,2471.0,53155.0,15.91318907779495
Cary,27511,189716.91836734695,7,34525.0,3653.0,74339.0,10.580738595220854
Cary,27513,209685.32653061225,7,44821.0,2443.0,92858.0,5.45057004529127
Cary,27518,276972.92176870746,1,20875.0,918.0,106833.0,4.3976047904191615
Cary,27519,236727.09863945577,11,55111.0,1916.0,130337.0,3.4766199125401465
Casar,28020,117371.12925170068,1,2082.0,301.0,42700.0,14.457252641690681
Cashiers,28717,525615.5351351352,3,1640.0,240.0,41108.0,14.634146341463413
Castle Hayne,28429,154234.2125984252,3,7525.0,707.0,49346.0,9.395348837209303
Catawba,28609,149473.25510204083,3,5788.0,467.0,59495.0,8.068417415342086
Chapel Hill,27514,309018.669456067,5,32304.0,3901.0,70849.0,12.075903912828133
Chapel Hill,27516,249163.94265232974,13,41551.0,5747.0,85615.0,13.83119539842603
Chapel Hill,27517,277509.024911032,5,24092.0,2085.0,84940.0,8.654325087165864
Charlotte,28202,348583.7653061224,4,12745.0,1354.0,90972.0,10.623774029030992
Charlotte,28203,342611.14965986396,2,15946.0,2313.0,81094.0,14.505205067101468
Charlotte,28204,319609.193877551,3,6725.0,1148.0,61700.0,17.070631970260223
Charlotte,28205,176621.82993197278,11,48539.0,10702.0,49378.0,22.04824986093657
Charlotte,28206,114918.12925170068,6,11919.0,3480.0,31617.0,29.1970802919708
Charlotte,28207,583405.2346938775,2,9539.0,485.0,129886.0,5.08439039731628
Charlotte,28208,99184.83333333333,11,39700.0,9954.0,34925.0,25.073047858942065
Charlotte,28209,255321.2857142857,6,22694.0,2830.0,72535.0,12.47025645545078
Charlotte,28210,208788.2380952381,8,48304.0,5086.0,68692.0,10.529148724743292
Charlotte,28211,269642.3231292517,8,30789.0,3507.0,84366.0,11.390431647666373
Charlotte,28212,122345.10204081633,8,45694.0,11593.0,39439.0,25.370945857224143
Charlotte,28213,129184.13605442178,4,40724.0,8142.0,43984.0,19.993124447500247
Charlotte,28214,129456.57823129251,8,41356.0,5248.0,60837.0,12.68981526259793
Charlotte,28215,128027.6156462585,10,62533.0,10998.0,50305.0,17.587513792717445
Charlotte,28216,123011.23129251701,8,51116.0,7238.0,48647.0,14.159949917833947
Charlotte,28217,121509.41156462584,3,29410.0,6806.0,49230.0,23.141788507310437
Charlotte,28226,201995.1530612245,2,39631.0,2604.0,94492.0,6.570613913350661
Charlotte,28262,137603.55102040817,11,43046.0,7613.0,53261.0,17.68573154300051
Charlotte,28269,145113.92517006802,10,76811.0,5341.0,64803.0,6.953431149184362
Charlotte,28270,196036.7993197279,3,35059.0,1273.0,95224.0,3.6310219915000426
Charlotte,28273,149839.1326530612,10,39483.0,3705.0,63687.0,9.383785426639314
Charlotte,28277,211061.54761904763,11,71605.0,2660.0,105885.0,3.7148243837720827
Charlotte,28278,188199.1224489796,4,27286.0,1257.0,90282.0,4.606758044418383
Cherryville,28021,110738.73880597015,4,13991.0,1864.0,45606.0,13.322850403831035
China Grove,28023,152666.69411764707,7,15623.0,2442.0,54626.0,15.63080074249504
Chocowinity,27817,169042.81292517006,3,7773.0,1391.0,50526.0,17.895278528238777
Claremont,28610,131375.02721088435,5,10120.0,964.0,55997.0,9.525691699604744
Clayton,27520,145705.55782312926,8,40611.0,2700.0,65190.0,6.648445002585507
Clayton,27527,184954.36029411765,4,23160.0,1307.0,87313.0,5.643350604490501
Clemmons,27012,170945.0850340136,4,27478.0,1580.0,80045.0,5.750054589125846
Cleveland,27013,138380.85283018867,2,6135.0,871.0,51372.0,14.197229013854932
Climax,27233,150866.4135338346,1,3643.0,168.0,67278.0,4.611583859456491
Clyde,28721,192448.85164835164,4,10152.0,1622.0,46290.0,15.977147360126084
Coats,27521,114497.71505376344,1,6111.0,1279.0,44231.0,20.929471444935363
Collettsville,28611,104869.80334728034,1,1162.0,171.0,61810.0,14.716006884681585
Columbia,27925,94943.70629370629,3,3991.0,863.0,37674.0,21.623653219744423
Concord,28025,141765.18027210885,14,54829.0,8376.0,54774.0,15.27658720749968
Concord,28027,156092.60204081633,17,63423.0,4694.0,71067.0,7.40110054712013
Conover,28613,125222.18027210885,5,22233.0,3053.0,54585.0,13.731840057572079
Conway,27820,65144.51063829787,2,2211.0,424.0,39839.0,19.17684305744007
Cooleemee,27014,75292.81868131868,1,854.0,260.0,37143.0,30.44496487119438
Cornelius,28031,210485.9149659864,5,27460.0,2034.0,89823.0,7.407137654770575
Corolla,27927,287160.7074829932,1,932.0,89.0,65795.0,9.549356223175966
Cove City,28523,126548.464,1,2364.0,299.0,62533.0,12.648054145516074
Cramerton,28032,138935.1098901099,1,3296.0,570.0,59071.0,17.29368932038835
Creedmoor,27522,147752.04421768707,7,11861.0,1133.0,65589.0,9.55231430739398
Cullowhee,28723,248314.47282608695,1,11182.0,2562.0,33180.0,22.9118225719907
Currituck,27929,243546.9863945578,1,1711.0,104.0,80185.0,6.078316773816481
Dallas,28034,121811.2673992674,5,17327.0,2486.0,46423.0,14.347550066370404
Danbury,27016,118664.58474576271,1,1395.0,145.0,50263.0,10.39426523297491
Davidson,28036,233658.42176870749,2,17824.0,700.0,117685.0,3.9272890484739675
Deep Run,28525,89620.60204081633,1,2919.0,709.0,36373.0,24.289140116478247
Denton,27239,120796.94217687075,3,9066.0,1268.0,48091.0,13.986322523714978
Denver,28037,204332.39115646257,6,20110.0,1449.0,75516.0,7.205370462456489
Dobson,27017,126589.13978494624,6,9236.0,1461.0,41201.0,15.818536162841056
Dudley,28333,68839.95238095238,3,11075.0,4797.0,30172.0,43.313769751693
Dunn,28334,105956.34013605442,7,24780.0,6009.0,36751.0,24.249394673123486
Durham,27701,165425.77580071174,8,22849.0,6448.0,36606.0,28.220053394021622
Durham,27703,160027.8612099644,13,51163.0,7943.0,60438.0,15.524891034536678
Durham,27704,133252.94306049822,12,39281.0,8620.0,46720.0,21.9444515160001
