city,zipcode,avg_house_price,number_of_schools,population,poverty_count,median_household_income,poverty_rate
Aberdeen,28315,256666.10714285713,4,13700.0,2826.0,51725.0,20.62773722627737
Advance,27006,420614.2173913043,2,14555.0,932.0,78095.0,6.403297835795259
Albemarle,28001,193832.9693877551,8,26601.0,5208.0,45121.0,19.57821134543814
Angier,27501,258010.46632124353,5,21299.0,2601.0,56338.0,12.21184093149913
Apex,27502,377045.6768707483,7,40280.0,2248.0,110513.0,5.580933465739822
Apex,27523,395582.147260274,3,11629.0,685.0,102368.0,5.8904462980479835
Apex,27539,403182.60204081633,5,23436.0,1111.0,105526.0,4.740570063150709
Archdale,27263,178863.41156462586,5,22028.0,3042.0,44454.0,13.80969674959143
Arden,28704,395906.3872180451,3,19060.0,1563.0,63223.0,8.200419727177334
Ash,28420,226773.18539325843,2,3845.0,639.0,53519.0,16.618985695708712
Asheboro,27203,137831.4140350877,8,21684.0,5360.0,34131.0,24.718686589190185
Asheboro,27205,309547.9087719298,7,34517.0,5316.0,47008.0,15.40110670104586
Asheville,28801,408717.6804511278,5,13683.0,3113.0,33504.0,22.750858729810712
Asheville,28803,731035.7814814815,9,33756.0,3072.0,50475.0,9.100604337006754
Asheville,28804,554036.7925925925,2,22189.0,2553.0,59855.0,11.50570102302943
Asheville,28805,378176.9925925926,3,19818.0,2187.0,49893.0,11.035422343324251
Asheville,28806,282729.1666666667,12,42650.0,6165.0,46726.0,14.454865181711607
Atlantic,28511,157060.96062992126,1,566.0,107.0,38125.0,18.90459363957597
Aurora,27806,64389.756410256414,1,2664.0,490.0,37582.0,18.393393393393392
Ayden,28513,150596.15789473685,3,10321.0,2091.0,48269.0,20.259664761166555
Badin,28009,165776.55972696247,1,1221.0,167.0,33261.0,13.677313677313677
Bahama,27503,340989.70652173914,1,6328.0,170.0,81016.0,2.686472819216182
Bailey,27807,186723.19672131148,2,6415.0,866.0,45422.0,13.499610288386593
Banner Elk,28604,405691.52040816325,2,7635.0,918.0,51280.0,12.023575638506877
Barnardsville,28709,310414.3188405797,1,2302.0,175.0,47250.0,7.602085143353605
Bath,27808,485482.72832369944,1,1939.0,169.0,48079.0,8.715832903558535
Bayboro,28515,115611.00884955752,4,2584.0,507.0,29292.0,19.620743034055728
Beaufort,28516,460390.6692913386,4,11268.0,1665.0,48668.0,14.776357827476039
Belmont,28012,330575.8270676692,7,22968.0,2135.0,66910.0,9.29554162312783
Belwood,28090,242297.818815331,2,8473.0,2121.0,33151.0,25.032456036822847
Benson,27504,220017.70588235295,5,15182.0,3153.0,46944.0,20.768014754314322
Bessemer City,28016,157106.38095238095,5,13046.0,2484.0,44313.0,19.040318871684807
Bethel,27812,107239.99462365592,2,2762.0,694.0,38944.0,25.126719768283852
Black Mountain,28711,362296.9074074074,3,13398.0,880.0,45329.0,6.568144499178982
Blowing Rock,28605,608475.0170068027,1,3428.0,375.0,60172.0,10.939323220536757
Boiling Spring Lakes,28461,777070.2211538461,4,19897.0,1471.0,64418.0,7.393074332813993
Bolivia,28422,295565.77777777775,4,8404.0,1810.0,45183.0,21.53736316039981
Boone,28607,373345.2891156463,5,35523.0,10533.0,41143.0,29.651211890887595
Bostic,28018,244864.33333333334,3,4699.0,757.0,36108.0,16.109810597999573
Brevard,28712,336982.39673913043,6,20017.0,2894.0,46490.0,14.457710945696158
Brevard,28772,136526.77900552485,3,1061.0,51.0,45670.0,4.806786050895382
Broadway,27505,205322.3537414966,1,5862.0,898.0,47696.0,15.31900375298533
Browns Summit,27214,257468.05782312926,3,10773.0,781.0,67895.0,7.24960549521953
Bunnlevel,28323,189402.0698924731,2,3899.0,704.0,52351.0,18.055911772249296
Burgaw,28425,262827.62983425416,6,11634.0,2161.0,40211.0,18.57486676981262
Burlington,27215,316386.89795918367,8,41204.0,6435.0,47420.0,15.617415784875256
Burlington,27217,159063.4863945578,7,37624.0,7957.0,40114.0,21.148734850095682
Buxton,27920,493904.94137931033,2,1327.0,542.0,48796.0,40.844009042954035
Camden,27921,261818.53535353535,5,4889.0,595.0,63563.0,12.170177950501126
Cameron,28326,231683.90760869565,5,23385.0,3280.0,61299.0,14.026085097284586
Candler,28715,459986.8259259259,5,26318.0,3319.0,53594.0,12.611140664184209
Canton,28716,268295.2197802198,5,17807.0,2681.0,49018.0,15.055876902341774
Carolina Beach,28428,462043.2401574803,1,6533.0,603.0,71250.0,9.230062758303994
Carrboro,27510,383435.8158995816,3,15528.0,2471.0,53155.0,15.91318907779495
Cary,27511,392057.0136518771,7,34525.0,3653.0,74339.0,10.580738595220854
Cary,27513,469885.6075085324,7,44821.0,2443.0,92858.0,5.45057004529127
Cary,27518,472016.54266211606,1,20875.0,918.0,106833.0,4.3976047904191615
Cary,27519,448299.94217687077,11,55111.0,1916.0,130337.0,3.4766199125401465
Cashiers,28717,1543822.9405405405,3,1640.0,240.0,41108.0,14.634146341463413
Castle Hayne,28429,266001.23320158105,3,7525.0,707.0,49346.0,9.395348837209303
Catawba,28609,379103.1802721088,3,5788.0,467.0,59495.0,8.068417415342086
Chapel Hill,27514,622755.9163179917,5,32304.0,3901.0,70849.0,12.075903912828133
Chapel Hill,27516,510389.6820083682,13,41551.0,5747.0,85615.0,13.83119539842603
Chapel Hill,27517,587185.953068592,5,24092.0,2085.0,84940.0,8.654325087165864
Charlotte,28202,742294.2599118942,4,12745.0,1354.0,90972.0,10.623774029030992
Charlotte,28203,767963.7482993198,2,15946.0,2313.0,81094.0,14.505205067101468
Charlotte,28204,566235.4013605443,3,6725.0,1148.0,61700.0,17.070631970260223
Charlotte,28205,425919.4557823129,11,48539.0,10702.0,49378.0,22.04824986093657
Charlotte,28206,183975.47278911565,6,11919.0,3480.0,31617.0,29.1970802919708
Charlotte,28207,1265620.193877551,2,9539.0,485.0,129886.0,5.08439039731628
Charlotte,28208,155125.3401360544,11,39700.0,9954.0,34925.0,25.073047858942065
Charlotte,28209,726751.9897959183,6,22694.0,2830.0,72535.0,12.47025645545078
Charlotte,28210,569513.0476190476,8,48304.0,5086.0,68692.0,10.529148724743292
Charlotte,28211,867579.3639455782,8,30789.0,3507.0,84366.0,11.390431647666373
Charlotte,28212,166886.9319727891,8,45694.0,11593.0,39439.0,25.370945857224143
Charlotte,28213,218627.4931972789,4,40724.0,8142.0,43984.0,19.993124447500247
Charlotte,28214,256989.9387755102,8,41356.0,5248.0,60837.0,12.68981526259793
Charlotte,28215,224243.1530612245,10,62533.0,10998.0,50305.0,17.587513792717445
Charlotte,28216,221768.7993197279,8,51116.0,7238.0,48647.0,14.159949917833947
Charlotte,28217,148122.25170068027,3,29410.0,6806.0,49230.0,23.141788507310437
Charlotte,28226,595750.7517006802,2,39631.0,2604.0,94492.0,6.570613913350661
Charlotte,28262,267677.29931972787,11,43046.0,7613.0,53261.0,17.68573154300051
Charlotte,28269,264169.9081632653,10,76811.0,5341.0,64803.0,6.953431149184362
Charlotte,28270,446639.40476190473,3,35059.0,1273.0,95224.0,3.6310219915000426
Charlotte,28273,254504.6768707483,10,39483.0,3705.0,63687.0,9.383785426639314
Charlotte,28277,439552.4557823129,11,71605.0,2660.0,105885.0,3.7148243837720827
Charlotte,28278,328746.15646258503,4,27286.0,1257.0,90282.0,4.606758044418383
Cherryville,28021,217663.1794871795,4,13991.0,1864.0,45606.0,13.322850403831035
China Grove,28023,357206.9411764706,7,15623.0,2442.0,54626.0,15.63080074249504
Chocowinity,27817,353965.2119815668,3,7773.0,1391.0,50526.0,17.895278528238777
Claremont,28610,174655.17346938775,5,10120.0,964.0,55997.0,9.525691699604744
Clayton,27520,270474.0330882353,8,40611.0,2700.0,65190.0,6.648445002585507
Clayton,27527,288035.8990825688,4,23160.0,1307.0,87313.0,5.643350604490501
Clemmons,27012,341737.4557823129,4,27478.0,1580.0,80045.0,5.750054589125846
Cleveland,27013,255308.4312267658,2,6135.0,871.0,51372.0,14.197229013854932
Climax,27233,177344.60884353743,1,3643.0,168.0,67278.0,4.611583859456491
Clyde,28721,271414.7554347826,4,10152.0,1622.0,46290.0,15.977147360126084
Coats,27521,184040.61290322582,1,6111.0,1279.0,44231.0,20.929471444935363
Columbia,27925,125747.64335664336,3,3991.0,863.0,37674.0,21.623653219744423
Concord,28025,257644.6530612245,14,54829.0,8376.0,54774.0,15.27658720749968
Concord,28027,297877.1224489796,17,63423.0,4694.0,71067.0,7.40110054712013
Connelly Springs,28612,213872.57575757575,4,12338.0,2390.0,37813.0,19.37104879234884
Conover,28613,274110.54761904763,5,22233.0,3053.0,54585.0,13.731840057572079
Conway,27820,88191.88590604028,2,2211.0,424.0,39839.0,19.17684305744007
Cornelius,28031,723563.925170068,5,27460.0,2034.0,89823.0,7.407137654770575
Corolla,27927,585960.0272108844,1,932.0,89.0,65795.0,9.549356223175966
Cramerton,28032,445919.71375464683,1,3296.0,570.0,59071.0,17.29368932038835
Creedmoor,27522,226855.04583333334,7,11861.0,1133.0,65589.0,9.55231430739398
Cullowhee,28723,420824.61413043475,1,11182.0,2562.0,33180.0,22.9118225719907
Currituck,27929,366129.49166666664,1,1711.0,104.0,80185.0,6.078316773816481
Dallas,28034,161259.29770992367,5,17327.0,2486.0,46423.0,14.347550066370404
Danbury,27016,209667.97222222222,1,1395.0,145.0,50263.0,10.39426523297491
Davidson,28036,480433.6904761905,2,17824.0,700.0,117685.0,3.9272890484739675
Deep Run,28525,171882.98130841122,1,2919.0,709.0,36373.0,24.289140116478247
Denton,27239,312585.27210884355,3,9066.0,1268.0,48091.0,13.986322523714978
Denver,28037,439761.1784037559,6,20110.0,1449.0,75516.0,7.205370462456489
Dobson,27017,239274.90860215054,6,9236.0,1461.0,41201.0,15.818536162841056
Dudley,28333,168713.99333333335,3,11075.0,4797.0,30172.0,43.313769751693
