city,zipcode,avg_house_price,number_of_schools,population,poverty_count,median_household_income,poverty_rate
Aberdeen,28315,114560.25,4,13700.0,2826.0,51725.0,20.62773722627737
Advance,27006,117300.22527472528,2,14555.0,932.0,78095.0,6.403297835795259
Albemarle,28001,35063.49659863945,8,26601.0,5208.0,45121.0,19.57821134543814
Angier,27501,126763.42708333333,5,21299.0,2601.0,56338.0,12.21184093149913
Apex,27502,370912.2519379845,7,40280.0,2248.0,110513.0,5.580933465739822
Apex,27523,311196.15277777775,3,11629.0,685.0,102368.0,5.8904462980479835
Archdale,27263,60614.32653061225,5,22028.0,3042.0,44454.0,13.80969674959143
Arden,28704,115417.63568773234,3,19060.0,1563.0,63223.0,8.200419727177334
Ash,28420,107827.93478260869,2,3845.0,639.0,53519.0,16.618985695708712
Asheboro,27203,76841.70408163265,8,21684.0,5360.0,34131.0,24.718686589190185
Asheboro,27205,70525.28231292516,7,34517.0,5316.0,47008.0,15.40110670104586
Asheville,28801,213877.72384937239,5,13683.0,3113.0,33504.0,22.750858729810712
Asheville,28803,142869.49259259258,9,33756.0,3072.0,50475.0,9.100604337006754
Asheville,28804,123831.77099236641,2,22189.0,2553.0,59855.0,11.50570102302943
Asheville,28805,154801.2142857143,3,19818.0,2187.0,49893.0,11.035422343324251
Asheville,28806,120884.05970149254,12,42650.0,6165.0,46726.0,14.454865181711607
Atlantic,28511,98773.54545454546,1,566.0,107.0,38125.0,18.90459363957597
Aurora,27806,38437.876923076925,1,2664.0,490.0,37582.0,18.393393393393392
Bahama,27503,112793.01694915254,1,6328.0,170.0,81016.0,2.686472819216182
Banner Elk,28604,65939.26870748299,2,7635.0,918.0,51280.0,12.023575638506877
Barnardsville,28709,112784.54497354498,1,2302.0,175.0,47250.0,7.602085143353605
Bath,27808,84014.84,1,1939.0,169.0,48079.0,8.715832903558535
Beaufort,28516,136203.5,4,11268.0,1665.0,48668.0,14.776357827476039
Belmont,28012,86025.900990099,7,22968.0,2135.0,66910.0,9.29554162312783
Benson,27504,95764.63905325443,5,15182.0,3153.0,46944.0,20.768014754314322
Bessemer City,28016,47195.71111111111,5,13046.0,2484.0,44313.0,19.040318871684807
Black Mountain,28711,126876.67037037037,3,13398.0,880.0,45329.0,6.568144499178982
Blowing Rock,28605,182799.8673469388,1,3428.0,375.0,60172.0,10.939323220536757
Boiling Spring Lakes,28461,153726.29145728642,4,19897.0,1471.0,64418.0,7.393074332813993
Bolivia,28422,142156.29207920792,4,8404.0,1810.0,45183.0,21.53736316039981
Boone,28607,111977.5306122449,5,35523.0,10533.0,41143.0,29.651211890887595
Bostic,28018,92208.81972789115,3,4699.0,757.0,36108.0,16.109810597999573
Brevard,28712,139252.8524590164,6,20017.0,2894.0,46490.0,14.457710945696158
Brevard,28772,116456.64130434782,3,1061.0,51.0,45670.0,4.806786050895382
Broadway,27505,53884.97014925373,1,5862.0,898.0,47696.0,15.31900375298533
Browns Summit,27214,93873.29824561403,3,10773.0,781.0,67895.0,7.24960549521953
Bunn,27508,103332.94535519126,3,1326.0,163.0,42981.0,12.29260935143288
Burgaw,28425,91913.84375,6,11634.0,2161.0,40211.0,18.57486676981262
Burlington,27215,72631.19801980197,8,41204.0,6435.0,47420.0,15.617415784875256
Burlington,27217,63616.90909090909,7,37624.0,7957.0,40114.0,21.148734850095682
Buxton,27920,175527.53658536586,2,1327.0,542.0,48796.0,40.844009042954035
Cameron,28326,96156.17948717948,5,23385.0,3280.0,61299.0,14.026085097284586
Candler,28715,124333.52631578948,5,26318.0,3319.0,53594.0,12.611140664184209
