city,zipcode,avg_house_price,number_of_schools,population,poverty_count,median_household_income,poverty_rate
Durham,27705,322801.5943060498,5,49019.0,7336.0,52256.0,14.965625573757116
Durham,27707,289344.29893238435,15,51168.0,8112.0,51851.0,15.853658536585366
Durham,27712,243823.14946619218,6,21100.0,1024.0,83418.0,4.853080568720379
Durham,27713,254019.5480427046,5,54621.0,6305.0,74077.0,11.543179363248568
East Bend,27018,159916.44,5,7714.0,850.0,45714.0,11.018926626912108
East Flat Rock,28726,175227.33163265305,3,3219.0,272.0,36054.0,8.449829139484311
Eden,27288,135504.98961937716,7,23689.0,4768.0,37384.0,20.12748533074423
Efland,27243,291680.4267782427,2,4431.0,276.0,66975.0,6.2288422477995935
Elizabeth City,27909,216472.90860215054,12,39515.0,5999.0,48277.0,15.181576616474757
Elkin,28621,156633.02545454545,4,10499.0,1835.0,47034.0,17.477855033812745
Ellenboro,28040,122258.7925170068,1,7738.0,1283.0,38957.0,16.580511760144738
Ellerbe,28338,124774.47474747474,2,4663.0,530.0,45260.0,11.366073343341197
Elm City,27822,189924.158974359,4,8459.0,1215.0,47181.0,14.363399929069631
Elon,27244,236222.9149659864,4,15535.0,2031.0,57511.0,13.073704538139685
Enfield,27823,70285.49659863945,3,7890.0,2148.0,31951.0,27.224334600760457
Erwin,28339,120001.76086956522,3,7357.0,1380.0,40464.0,18.7576457795297
Etowah,28729,268300.92346938775,1,3271.0,120.0,52702.0,3.668602873738918
Fairmont,28340,87622.5,5,9657.0,2775.0,30026.0,28.735632183908045
Fairview,28730,391060.8134328358,1,9248.0,649.0,62995.0,7.017733564013841
Farmville,27828,144589.58288770053,4,9489.0,2519.0,37305.0,26.546527558225314
Fayetteville,28301,113731.80952380953,15,17600.0,6167.0,26261.0,35.03977272727273
Fayetteville,28303,179251.16326530612,9,29414.0,5981.0,39896.0,20.333854627048346
Fayetteville,28304,166848.7857142857,15,36404.0,6624.0,48358.0,18.195802659048457
Fayetteville,28305,274623.2448979592,4,5705.0,811.0,50020.0,14.215600350569677
Fayetteville,28306,207066.94217687074,11,41944.0,7119.0,51597.0,16.972630173564752
Fayetteville,28311,195622.9319727891,6,35641.0,5681.0,47534.0,15.939507870149546
