city,zipcode,avg_house_price,number_of_schools,population,poverty_count,median_household_income,poverty_rate
Aberdeen,28315,99995.51578947369,4,13700.0,2826.0,51725.0,20.62773722627737
Advance,27006,132251.4108108108,2,14555.0,932.0,78095.0,6.403297835795259
Albemarle,28001,58202.00680272109,8,26601.0,5208.0,45121.0,19.57821134543814
Angier,27501,101196.76666666666,5,21299.0,2601.0,56338.0,12.21184093149913
Apex,27502,155699.6198630137,7,40280.0,2248.0,110513.0,5.580933465739822
Apex,27523,287636.89455782314,3,11629.0,685.0,102368.0,5.8904462980479835
Apex,27539,149820.27891156462,5,23436.0,1111.0,105526.0,4.740570063150709
Archdale,27263,60574.80952380953,5,22028.0,3042.0,44454.0,13.80969674959143
Arden,28704,133441.9814814815,3,19060.0,1563.0,63223.0,8.200419727177334
Ash,28420,107964.64071856288,2,3845.0,639.0,53519.0,16.618985695708712
Asheboro,27203,65805.88095238095,8,21684.0,5360.0,34131.0,24.718686589190185
Asheboro,27205,88896.01403508772,7,34517.0,5316.0,47008.0,15.40110670104586
Asheville,28801,182192.95895522388,5,13683.0,3113.0,33504.0,22.750858729810712
Asheville,28803,144000.03703703705,9,33756.0,3072.0,50475.0,9.100604337006754
Asheville,28804,175129.8401486989,2,22189.0,2553.0,59855.0,11.50570102302943
Asheville,28805,153389.36296296297,3,19818.0,2187.0,49893.0,11.035422343324251
Asheville,28806,145226.98888888888,12,42650.0,6165.0,46726.0,14.454865181711607
Atlantic,28511,97336.06735751295,1,566.0,107.0,38125.0,18.90459363957597
Aurora,27806,33458.333333333336,1,2664.0,490.0,37582.0,18.393393393393392
Ayden,28513,50680.532608695656,3,10321.0,2091.0,48269.0,20.259664761166555
Badin,28009,37214.65405405405,1,1221.0,167.0,33261.0,13.677313677313677
Bahama,27503,132206.7046263345,1,6328.0,170.0,81016.0,2.686472819216182
Bailey,27807,76130.17741935483,2,6415.0,866.0,45422.0,13.499610288386593
Banner Elk,28604,130213.47959183673,2,7635.0,918.0,51280.0,12.023575638506877
Barco,27917,116435.60884353741,3,734.0,391.0,29684.0,53.269754768392374
Barnardsville,28709,133146.72556390977,1,2302.0,175.0,47250.0,7.602085143353605
Bath,27808,145630.94537815126,1,1939.0,169.0,48079.0,8.715832903558535
Bayboro,28515,66164.80701754386,4,2584.0,507.0,29292.0,19.620743034055728
Bear Creek,27207,96883.24372759857,1,3149.0,502.0,55625.0,15.941568751984757
Beaufort,28516,137260.0850340136,4,11268.0,1665.0,48668.0,14.776357827476039
Belmont,28012,102069.07326007326,7,22968.0,2135.0,66910.0,9.29554162312783
Belwood,28090,64207.52721088436,2,8473.0,2121.0,33151.0,25.032456036822847
Bennett,27208,97622.10780669145,2,1847.0,331.0,42128.0,17.920952896589064
Benson,27504,82651.91176470589,5,15182.0,3153.0,46944.0,20.768014754314322
Bessemer City,28016,66083.09523809524,5,13046.0,2484.0,44313.0,19.040318871684807
Black Mountain,28711,162163.44402985074,3,13398.0,880.0,45329.0,6.568144499178982
Blowing Rock,28605,203150.1394557823,1,3428.0,375.0,60172.0,10.939323220536757
Boiling Spring Lakes,28461,179048.96634615384,4,19897.0,1471.0,64418.0,7.393074332813993
Bolivia,28422,126968.30769230769,4,8404.0,1810.0,45183.0,21.53736316039981
Boomer,28606,67403.70196078431,1,1689.0,265.0,31308.0,15.689757252812313
Boone,28607,166215.38775510204,5,35523.0,10533.0,41143.0,29.651211890887595
Boonville,27011,88752.90666666666,3,5380.0,906.0,37167.0,16.840148698884757
Bostic,28018,77430.30952380953,3,4699.0,757.0,36108.0,16.109810597999573
Brevard,28712,149766.69565217392,6,20017.0,2894.0,46490.0,14.457710945696158
Brevard,28772,133904.74316939892,3,1061.0,51.0,45670.0,4.806786050895382
Broadway,27505,85915.10869565218,1,5862.0,898.0,47696.0,15.31900375298533
Browns Summit,27214,78095.93197278911,3,10773.0,781.0,67895.0,7.24960549521953
Bunn,27508,79772.18579234973,3,1326.0,163.0,42981.0,12.29260935143288
Burgaw,28425,69603.24043715847,6,11634.0,2161.0,40211.0,18.57486676981262
Burlington,27215,97109.39115646259,8,41204.0,6435.0,47420.0,15.617415784875256
Burlington,27217,65132.03831417624,7,37624.0,7957.0,40114.0,21.148734850095682
Butner,27509,92363.92517006803,2,6285.0,1325.0,41467.0,21.081941129673826
Buxton,27920,229415.54347826086,2,1327.0,542.0,48796.0,40.844009042954035
Camden,27921,191515.07079646018,5,4889.0,595.0,63563.0,12.170177950501126
Cameron,28326,88312.97872340426,5,23385.0,3280.0,61299.0,14.026085097284586
Candler,28715,133210.276119403,5,26318.0,3319.0,53594.0,12.611140664184209
Canton,28716,117080.375,5,17807.0,2681.0,49018.0,15.055876902341774
Carolina Beach,28428,233397.10869565216,1,6533.0,603.0,71250.0,9.230062758303994
Carrboro,27510,159178.11297071129,3,15528.0,2471.0,53155.0,15.91318907779495
Cary,27511,131186.03741496598,7,34525.0,3653.0,74339.0,10.580738595220854
Cary,27513,140526.10204081633,7,44821.0,2443.0,92858.0,5.45057004529127
Cary,27518,141988.8184931507,1,20875.0,918.0,106833.0,4.3976047904191615
Cary,27519,217218.9455782313,11,55111.0,1916.0,130337.0,3.4766199125401465
Casar,28020,77218.04887218046,1,2082.0,301.0,42700.0,14.457252641690681
Cashiers,28717,284016.31147540984,3,1640.0,240.0,41108.0,14.634146341463413
Castle Hayne,28429,140612.3346456693,3,7525.0,707.0,49346.0,9.395348837209303
Catawba,28609,110627.25631768953,3,5788.0,467.0,59495.0,8.068417415342086
Chapel Hill,27514,170009.32217573223,5,32304.0,3901.0,70849.0,12.075903912828133
Chapel Hill,27516,212048.07553956835,13,41551.0,5747.0,85615.0,13.83119539842603
Chapel Hill,27517,184342.07829181495,5,24092.0,2085.0,84940.0,8.654325087165864
Charlotte,28202,261665.14285714287,4,12745.0,1354.0,90972.0,10.623774029030992
Charlotte,28203,226871.62585034015,2,15946.0,2313.0,81094.0,14.505205067101468
Charlotte,28204,211772.04421768707,3,6725.0,1148.0,61700.0,17.070631970260223
Charlotte,28205,152113.8605442177,11,48539.0,10702.0,49378.0,22.04824986093657
Charlotte,28206,74501.91126279863,6,11919.0,3480.0,31617.0,29.1970802919708
Charlotte,28207,192888.48299319728,2,9539.0,485.0,129886.0,5.08439039731628
Charlotte,28208,70714.77891156463,11,39700.0,9954.0,34925.0,25.073047858942065
Charlotte,28209,165192.5,6,22694.0,2830.0,72535.0,12.47025645545078
Charlotte,28210,128704.39115646259,8,48304.0,5086.0,68692.0,10.529148724743292
Charlotte,28211,134058.9081632653,8,30789.0,3507.0,84366.0,11.390431647666373
Charlotte,28212,81837.39795918367,8,45694.0,11593.0,39439.0,25.370945857224143
Charlotte,28213,96580.61904761905,4,40724.0,8142.0,43984.0,19.993124447500247
Charlotte,28214,103719.52380952382,8,41356.0,5248.0,60837.0,12.68981526259793
Charlotte,28215,76445.3231292517,10,62533.0,10998.0,50305.0,17.587513792717445
Charlotte,28216,94921.6836734694,8,51116.0,7238.0,48647.0,14.159949917833947
Charlotte,28217,74774.80952380953,3,29410.0,6806.0,49230.0,23.141788507310437
Charlotte,28226,117287.52380952382,2,39631.0,2604.0,94492.0,6.570613913350661
Charlotte,28262,110756.1462585034,11,43046.0,7613.0,53261.0,17.68573154300051
Charlotte,28269,112884.14285714286,10,76811.0,5341.0,64803.0,6.953431149184362
Charlotte,28270,119933.3231292517,3,35059.0,1273.0,95224.0,3.6310219915000426
Charlotte,28273,112356.98299319728,10,39483.0,3705.0,63687.0,9.383785426639314
Charlotte,28277,151120.1394557823,11,71605.0,2660.0,105885.0,3.7148243837720827
Charlotte,28278,186049.64285714287,4,27286.0,1257.0,90282.0,4.606758044418383
Cherryville,28021,70106.23684210527,4,13991.0,1864.0,45606.0,13.322850403831035
China Grove,28023,82503.84705882354,7,15623.0,2442.0,54626.0,15.63080074249504
Chocowinity,27817,68239.14285714286,3,7773.0,1391.0,50526.0,17.895278528238777
Claremont,28610,94183.22789115646,5,10120.0,964.0,55997.0,9.525691699604744
Clayton,27520,100629.78275862068,8,40611.0,2700.0,65190.0,6.648445002585507
Clayton,27527,131017.40073529411,4,23160.0,1307.0,87313.0,5.643350604490501
Clemmons,27012,107624.40816326531,4,27478.0,1580.0,80045.0,5.750054589125846
Cleveland,27013,107542.95454545454,2,6135.0,871.0,51372.0,14.197229013854932
Climax,27233,92851.33333333333,1,3643.0,168.0,67278.0,4.611583859456491
Clyde,28721,149768.4043715847,4,10152.0,1622.0,46290.0,15.977147360126084
Coats,27521,104243.33333333333,1,6111.0,1279.0,44231.0,20.929471444935363
Collettsville,28611,58470.31441048035,1,1162.0,171.0,61810.0,14.716006884681585
Columbia,27925,59533.86713286713,3,3991.0,863.0,37674.0,21.623653219744423
Concord,28025,88607.87755102041,14,54829.0,8376.0,54774.0,15.27658720749968
Concord,28027,99018.84353741497,17,63423.0,4694.0,71067.0,7.40110054712013
Conover,28613,88233.8231292517,5,22233.0,3053.0,54585.0,13.731840057572079
Conway,27820,36443.14678899082,2,2211.0,424.0,39839.0,19.17684305744007
Cooleemee,27014,51090.2294117647,1,854.0,260.0,37143.0,30.44496487119438
Cornelius,28031,147872.21768707482,5,27460.0,2034.0,89823.0,7.407137654770575
Corolla,27927,203252.66666666666,1,932.0,89.0,65795.0,9.549356223175966
Cove City,28523,78845.02666666667,1,2364.0,299.0,62533.0,12.648054145516074
Cramerton,28032,93693.32352941176,1,3296.0,570.0,59071.0,17.29368932038835
Creedmoor,27522,111596.40816326531,7,11861.0,1133.0,65589.0,9.55231430739398
Cullowhee,28723,179748.7688172043,1,11182.0,2562.0,33180.0,22.9118225719907
Currituck,27929,175247.74489795917,1,1711.0,104.0,80185.0,6.078316773816481
Dallas,28034,79901.89925373135,5,17327.0,2486.0,46423.0,14.347550066370404
Danbury,27016,79444.081300813,1,1395.0,145.0,50263.0,10.39426523297491
Davidson,28036,161485.97959183675,2,17824.0,700.0,117685.0,3.9272890484739675
Deep Run,28525,48117.20068027211,1,2919.0,709.0,36373.0,24.289140116478247
Denton,27239,88703.28231292516,3,9066.0,1268.0,48091.0,13.986322523714978
Denver,28037,197915.45578231293,6,20110.0,1449.0,75516.0,7.205370462456489
Dobson,27017,81297.05882352941,6,9236.0,1461.0,41201.0,15.818536162841056
Dudley,28333,56528.171428571426,3,11075.0,4797.0,30172.0,43.313769751693
Dunn,28334,57149.80327868852,7,24780.0,6009.0,36751.0,24.249394673123486
Durham,27701,138000.0,8,22849.0,6448.0,36606.0,28.220053394021622
Durham,27703,158476.03272727272,13,51163.0,7943.0,60438.0,15.524891034536678
Durham,27704,107897.31672597864,12,39281.0,8620.0,46720.0,21.9444515160001
Durham,27705,135719.2953736655,5,49019.0,7336.0,52256.0,14.965625573757116
Durham,27707,123438.10320284698,15,51168.0,8112.0,51851.0,15.853658536585366
Durham,27712,142186.4128113879,6,21100.0,1024.0,83418.0,4.853080568720379
Durham,27713,126517.32142857143,5,54621.0,6305.0,74077.0,11.543179363248568
East Bend,27018,90645.30666666667,5,7714.0,850.0,45714.0,11.018926626912108
East Flat Rock,28726,104624.82631578947,3,3219.0,272.0,36054.0,8.449829139484311
Eden,27288,43276.87412587413,7,23689.0,4768.0,37384.0,20.12748533074423
Efland,27243,146995.09829059828,2,4431.0,276.0,66975.0,6.2288422477995935
Elizabeth City,27909,87616.26923076923,12,39515.0,5999.0,48277.0,15.181576616474757
Elkin,28621,65095.68248175183,4,10499.0,1835.0,47034.0,17.477855033812745
Ellenboro,28040,49692.22448979592,1,7738.0,1283.0,38957.0,16.580511760144738
Ellerbe,28338,65483.98351648352,2,4663.0,530.0,45260.0,11.366073343341197
Elm City,27822,67382.36956521739,4,8459.0,1215.0,47181.0,14.363399929069631
Elon,27244,93015.19727891157,4,15535.0,2031.0,57511.0,13.073704538139685
Enfield,27823,18196.183673469386,3,7890.0,2148.0,31951.0,27.224334600760457
Erwin,28339,85966.09239130435,3,7357.0,1380.0,40464.0,18.7576457795297
Etowah,28729,172114.8775510204,1,3271.0,120.0,52702.0,3.668602873738918
Fairmont,28340,32429.954545454544,5,9657.0,2775.0,30026.0,28.735632183908045
Fairview,28730,174238.14126394052,1,9248.0,649.0,62995.0,7.017733564013841
Farmville,27828,62685.29891304348,4,9489.0,2519.0,37305.0,26.546527558225314
Fayetteville,28301,52890.49319727891,15,17600.0,6167.0,26261.0,35.03977272727273
Fayetteville,28303,62955.04761904762,9,29414.0,5981.0,39896.0,20.333854627048346
Fayetteville,28304,75807.08503401361,15,36404.0,6624.0,48358.0,18.195802659048457
Fayetteville,28305,95175.96598639456,4,5705.0,811.0,50020.0,14.215600350569677
Fayetteville,28306,61014.142857142855,11,41944.0,7119.0,51597.0,16.972630173564752
Fayetteville,28311,90987.02040816327,6,35641.0,5681.0,47534.0,15.939507870149546
Fayetteville,28312,68020.26119402985,4,19196.0,3435.0,44683.0,17.894352990206293
Fayetteville,28314,70732.86394557822,6,58110.0,9818.0,47873.0,16.89554293581139
Ferguson,28624,204319.9723320158,1,1339.0,300.0,32432.0,22.404779686333086
Flat Rock,28731,173483.2618025751,2,8354.0,792.0,55611.0,9.480488388795786
Fletcher,28732,143904.31851851853,2,17479.0,1305.0,59993.0,7.466102179758567
Forest City,28043,49372.1462585034,7,21075.0,5102.0,35484.0,24.208778173190986
Four Oaks,27524,81278.36900369004,3,13916.0,2157.0,48052.0,15.500143719459613
Franklinton,27525,66502.25543478261,5,14323.0,2295.0,51570.0,16.02317950150108
Franklinville,27248,76776.77192982456,2,4249.0,396.0,44832.0,9.319839962344082
Fremont,27830,41357.86486486487,2,4841.0,834.0,44366.0,17.227845486469736
Fuquay Varina,27526,123032.18055555556,6,47425.0,4218.0,76880.0,8.894043226146547
Garner,27529,116920.33935018051,12,48833.0,5650.0,60801.0,11.570044846722503
Gaston,27832,39206.86330935252,5,3001.0,507.0,36089.0,16.89436854381873
Gastonia,28052,75504.09701492537,13,35302.0,9109.0,36243.0,25.80307064755538
Gastonia,28054,68236.04119850187,7,37335.0,5830.0,43422.0,15.615374313646713
Gastonia,28056,86175.326007326,5,34401.0,4085.0,63563.0,11.87465480654632
Gates,27937,75856.30508474576,1,4546.0,629.0,56523.0,13.836339639243292
Gatesville,27938,81507.71186440678,3,1261.0,47.0,47273.0,3.7272006344171293
Germanton,27019,96962.09523809524,1,4139.0,267.0,57075.0,6.45083353467021
Gibson,28343,30385.633333333335,1,1404.0,315.0,39531.0,22.435897435897438
Gibsonville,27249,116208.08163265306,3,12447.0,1961.0,54516.0,15.754800353498835
Gold Hill,28071,96112.63265306123,1,2649.0,412.0,43551.0,15.553038882597207
Goldsboro,27530,45366.26190476191,14,38865.0,9883.0,36283.0,25.42904927312492
Goldsboro,27534,72938.14285714286,8,32233.0,3971.0,48270.0,12.31967238544349
Goldston,27252,127307.02230483272,1,2509.0,492.0,51854.0,19.609406137903548
Graham,27253,95531.30303030302,11,30544.0,5421.0,44902.0,17.748166579360923
Granite Falls,28630,65794.31985294117,6,20007.0,3167.0,50190.0,15.829459689108813
Greensboro,27301,87707.87414965987,4,8826.0,734.0,62490.0,8.316338092000906
Greensboro,27401,65080.61224489796,11,22105.0,4033.0,35153.0,18.24474100882153
Greensboro,27403,79284.4387755102,4,22569.0,5026.0,45566.0,22.269484691390844
Greensboro,27405,63730.316326530614,12,48990.0,12116.0,36462.0,24.731577873035313
Greensboro,27406,62333.00680272109,17,63465.0,14973.0,41097.0,23.592531316473647
Greensboro,27407,85684.51360544217,7,50288.0,8412.0,48127.0,16.727648743238944
Greensboro,27408,111113.51700680272,7,18090.0,1797.0,63965.0,9.933665008291873
Greensboro,27409,76109.01700680272,3,17532.0,2237.0,41455.0,12.759525439196898
Greensboro,27410,107357.97278911565,12,55519.0,4518.0,65755.0,8.137754642554802
Greensboro,27455,106915.57823129251,6,29020.0,1968.0,73263.0,6.7815299793246036
Greenville,27834,59742.832432432435,10,56458.0,15413.0,36360.0,27.299939778242234
Greenville,27858,81944.70967741935,9,59652.0,15047.0,44751.0,25.224636223429226
Grifton,28530,52928.288043478264,1,6457.0,1111.0,36357.0,17.206132879045995
Grimesland,27837,76161.86413043478,1,6463.0,1118.0,70453.0,17.298468203620608
Halifax,27839,33153.89455782313,2,3503.0,406.0,31051.0,11.590065658007422
Hamlet,28345,38740.29674796748,5,12107.0,3188.0,34918.0,26.33187412240852
Hampstead,28443,138008.83783783784,5,22138.0,1933.0,64317.0,8.731592736471226
Hamptonville,27020,94778.99137931035,1,5717.0,990.0,39012.0,17.316774532097252
Harkers Island,28531,212746.92913385827,1,1361.0,181.0,51111.0,13.299044819985307
Harmony,28634,78958.19047619047,1,5230.0,1047.0,46447.0,20.019120458891013
Harrisburg,28075,114356.55782312925,4,18621.0,827.0,99075.0,4.441222275925031
Havelock,28532,69295.03401360544,9,22205.0,2741.0,50634.0,12.344066651655032
Haw River,27258,107747.12121212122,1,7011.0,862.0,47336.0,12.294965054913707
Hays,28635,79437.00714285714,2,3162.0,637.0,29599.0,20.14547754585705
Henderson,27536,26266.619047619046,7,16421.0,4882.0,29021.0,29.730223494306074
Henderson,27537,92538.72527472528,11,24578.0,4936.0,42363.0,20.08300105785662
Hendersonville,28739,154883.6173469388,1,21474.0,2160.0,53965.0,10.05867560771165
Hendersonville,28791,170811.9387755102,5,14954.0,1160.0,53964.0,7.757121840310285
Hendersonville,28792,147319.45408163266,9,34945.0,5441.0,45629.0,15.570181714122192
Hertford,27944,164616.2912087912,2,11969.0,1862.0,46240.0,15.556855209290669
Hertford,27980,79212.32558139534,1,1758.0,67.0,47946.0,3.8111490329920366
Hickory,28601,87232.62585034013,12,51706.0,6977.0,50821.0,13.493598421846595
Hickory,28602,69249.88095238095,5,29105.0,4340.0,47493.0,14.911527228998454
Hiddenite,28636,86415.13574660633,2,5013.0,922.0,43810.0,18.392180331139038
High Point,27235,121634.43537414966,1,4557.0,147.0,89214.0,3.225806451612903
High Point,27260,33176.58490566038,6,25761.0,8719.0,27361.0,33.84573580218159
High Point,27262,51328.87074829932,9,24379.0,5009.0,39276.0,20.546371877435497
High Point,27265,92589.42857142857,9,50139.0,4609.0,60518.0,9.192445002891962
High Point,27282,95287.79591836735,7,17835.0,1576.0,68967.0,8.836557331090553
Hillsborough,27278,149541.67615658362,12,26054.0,2705.0,71657.0,10.382282950794504
Holden Beach,28462,145586.17788461538,2,12659.0,1842.0,41243.0,14.550912394343946
Hollister,27844,29487.732394366198,2,2955.0,866.0,28170.0,29.306260575296108
Holly Springs,27540,145440.90972222222,7,37520.0,1668.0,102268.0,4.445628997867804
Hope Mills,28348,65641.04081632652,10,35673.0,4681.0,53090.0,13.121968996159561
Hot Springs,28743,147071.47540983607,1,1987.0,580.0,38018.0,29.1897332662305
Hubert,28539,120709.02094240837,1,15623.0,2282.0,52782.0,14.606669653715675
Hudson,28638,66150.93014705883,6,11698.0,2024.0,41701.0,17.30210292357668
Huntersville,28078,138231.53741496598,12,60107.0,2987.0,95874.0,4.969471109854093
Hurdle Mills,27541,136000.5407725322,1,3718.0,548.0,64038.0,14.739107046799354
Indian Trail,28079,119811.57407407407,7,36737.0,2317.0,78407.0,6.306992949887034
Iron Station,28080,78777.77551020408,2,7941.0,1505.0,53811.0,18.952273013474375
Ivanhoe,28478,65315.391304347824,1,5114.0,728.0,39906.0,14.235432147047323
Jackson,27845,35244.29457364341,1,2876.0,598.0,33750.0,20.792767732962446
Jacksonville,28540,76572.80088495575,13,48775.0,7251.0,49970.0,14.86622245002563
Jacksonville,28546,79387.90707964601,10,46338.0,5525.0,46758.0,11.923259527817343
Jarvisburg,27947,139467.4347826087,1,1431.0,60.0,50417.0,4.1928721174004195
Jonesville,28642,69534.79326923077,1,5890.0,1305.0,38750.0,22.156196943972837
Kannapolis,28081,75678.58163265306,5,27557.0,5044.0,49743.0,18.303879232137025
Kannapolis,28083,74246.49659863945,5,25540.0,3610.0,48103.0,14.13469068128426
Kenly,27542,72070.34239130435,2,9953.0,1896.0,46332.0,19.049532804179645
Kernersville,27284,96704.35034013605,14,54413.0,6184.0,61071.0,11.364931174535498
Kill Devil Hills,27948,191996.34020618556,3,11118.0,1110.0,57445.0,9.983810037776578
King,27021,95760.33673469388,6,17539.0,2407.0,50123.0,13.72370146530589
Kings Mountain,28086,65950.05442176871,7,25037.0,4397.0,42571.0,17.562008227822822
Kinston,28501,27284.72429906542,6,18334.0,5857.0,30053.0,31.946111050507252
Kinston,28504,56243.23831775701,6,21852.0,3816.0,47856.0,17.462932454695224
Kittrell,27544,105786.12777777777,1,5027.0,890.0,56382.0,17.704396260194947
Kitty Hawk,27949,213932.1171875,1,7532.0,331.0,78191.0,4.394583112055231
Knightdale,27545,114456.91208791209,5,27186.0,1815.0,63683.0,6.676230412712425
Knotts Island,27950,138922.24829931973,1,2073.0,252.0,58821.0,12.156295224312592
La Grange,28551,47162.878504672895,3,15104.0,2366.0,37293.0,15.664724576271185
Lake Lure,28746,174977.47278911565,1,2371.0,140.0,60400.0,5.904681568958246
Lake Lure,28756,88300.72448979592,3,4715.0,264.0,49452.0,5.59915164369035
Lake Toxaway,28747,164539.087431694,1,2243.0,397.0,36653.0,17.699509585376727
Landis,28088,83929.25882352941,2,2746.0,373.0,53949.0,13.58339402767662
Laurel Hill,28351,26122.898832684827,2,4698.0,873.0,36949.0,18.582375478927204
Laurinburg,28352,28664.156462585033,10,25760.0,6870.0,33657.0,26.669254658385093
Lawsonville,27022,84358.86054421769,2,1099.0,50.0,41078.0,4.549590536851683
Leicester,28748,143066.79775280898,1,12613.0,1974.0,46075.0,15.650519305478475
Leland,28451,136179.8724489796,5,33435.0,4738.0,55357.0,14.170779123672798
Lenoir,28645,58770.69727891157,13,46604.0,8246.0,38697.0,17.693760192258175
Lewisville,27023,97172.2925170068,1,13088.0,911.0,75208.0,6.96057457212714
Lexington,27292,72866.40816326531,16,39649.0,7520.0,41315.0,18.966430426996897
Lexington,27295,69475.23809523809,11,38511.0,5256.0,49195.0,13.648048609488198
Liberty,27298,105547.01360544217,3,10052.0,1586.0,45095.0,15.777954635893355
Lillington,27546,74149.76630434782,5,21313.0,3777.0,48737.0,17.72157837939286
Lincolnton,28092,75750.15492957746,15,39710.0,7532.0,47971.0,18.967514479979855
Linden,28356,77191.1862745098,1,4890.0,392.0,67609.0,8.01635991820041
Littleton,27850,92244.59523809524,2,7244.0,987.0,42176.0,13.625069022639424
Locust,28097,98002.17346938775,2,6074.0,628.0,57782.0,10.339150477444846
Louisburg,27549,93579.4945054945,8,25645.0,4465.0,47667.0,17.410801325794502
Lowell,28098,98691.44360902255,2,3629.0,747.0,51206.0,20.584182970515293
Lowgap,27024,65595.98913043478,1,3148.0,557.0,41161.0,17.69377382465057
Lucama,27851,65556.54301075269,2,5356.0,892.0,48547.0,16.654219566840926
Lumber Bridge,28357,55287.65151515151,2,2682.0,738.0,32060.0,27.516778523489933
Lumberton,28358,39951.333333333336,13,38760.0,10467.0,37858.0,27.004643962848295
Lumberton,28360,55559.606060606064,3,14931.0,3443.0,37608.0,23.0594066037104
Madison,27025,61485.47735191638,4,11387.0,1287.0,47147.0,11.302362343022745
Maiden,28650,80416.69387755102,4,11106.0,1458.0,50092.0,13.12803889789303
Manteo,27954,200332.13745704468,3,7389.0,372.0,52626.0,5.034510759236703
Marion,28752,82217.76470588235,11,30591.0,4972.0,41632.0,16.25314635023373
Mars Hill,28754,156266.29591836734,2,10138.0,1781.0,45428.0,17.56756756756757
Marshall,28753,133787.55223880598,4,9937.0,1411.0,40883.0,14.199456576431519
Marshville,28103,102752.22304832714,4,11397.0,1096.0,55116.0,9.616565762920066
Matthews,28105,151482.1598639456,9,45786.0,3056.0,75329.0,6.674529332110252
Maxton,28364,28585.833333333332,4,15183.0,4610.0,33462.0,30.36290588157808
Mayodan,27027,50203.055944055945,1,4382.0,889.0,32183.0,20.287539936102235
Maysville,28555,87804.2625698324,2,4767.0,1124.0,47527.0,23.578770715334592
Mc Adenville,28101,95735.95238095238,1,826.0,71.0,60294.0,8.595641646489103
Mebane,27302,118363.47278911565,7,31331.0,4022.0,56230.0,12.837126168970029
Micro,27555,118548.72426470589,1,672.0,193.0,30833.0,28.720238095238095
Middlesex,27557,81606.38043478261,1,7558.0,1492.0,43098.0,19.74067213548558
Midland,28107,113701.42857142857,1,7380.0,616.0,70086.0,8.346883468834688
Millers Creek,28651,94450.43369175628,2,7419.0,1829.0,35919.0,24.65291818304354
Mills River,28759,171308.7142857143,2,7488.0,547.0,63547.0,7.305021367521368
Minnesott Beach,28510,192114.3947368421,1,1503.0,77.0,57381.0,5.123087159015303
Mint Hill,28227,95263.98639455783,8,55769.0,6836.0,57752.0,12.257705893955423
Misenheimer,28109,63901.545945945945,1,340.0,5.0,-666666666.0,1.4705882352941175
